Street Name,From,To,"Served by CTA or
Pace Route(s)"
100th St,Torrence Ave,Van Vlissingen Rd,"15, J14"
103rd St,Michigan Ave,Torrence Ave,"15, J14, 106"
104th St,Torrence Ave,Commercial Ave,71
111th St,Vincennes Ave,Cottage Grove Ave,"111, 115"
115th St,Vincennes Ave,King Dr,"111, 115"
119th St,Western Ave,Michigan Ave,"111, 115, 119"
127th St,Indiana Ave,Michigan Ave,34
130th St,Eberhart Ave,Indiana Ave,34
131st St,Ellis Ave,Eberhart Ave,34
133rd St,Langley Ave,Ellis Ave,34
16th St,Indiana Ave,Michigan Ave,12
25th St,Michigan Ave,King Dr,21
25th St,Lawndale Ave,Central Park Ave,82
26th St,King Dr,Michigan Ave,21
26th St,Ogden Ave,Blue Island Ave,60
31st St,Komensky Ave,Pulaski Rd,53
31st St,Central Park Ave,Lawndale Ave,82
32nd St,Lawndale Ave,Central Park Ave,82
35th St,Cottage Grove Ave,Michigan Ave,4
41st Street,Prairie Ave,Michigan Ave,39
43rd St,Cottage Grove Ave,Prairie Ave,43
43rd St,LaSalle St,State St,43
47th St,Kedzie Ave,S DuSable Lake Shore Dr,"6, 15, 43, 47"
50th St,S Lake Shore Dr,Cornell Ave,172
51st St,Wells St,Cottage Grove Ave,15
53rd St,Woodlawn Ave,Ellis Ave,172
55th St,Cicero,Morgan St,55
55th St,Rainey Dr,S Hyde Park Blvd,55
56th St,Stony Island Ave,S Lake Park Ave,15
57th Dr,57th St,S Everett Ave,"6, 55"
57th St,Stony Island Ave,57th Dr,6
59th St,Dorchester Ave,Woodlawn Ave,172
60th St,Stony Island Ave,Cottage Grove Ave,"2, 172"
63rd St,Cicero Ave,Stony Island Ave,63
64th St,Stony Island Ave,Blackstone Ave,63
67th St,S South Shore Dr,Rhodes Ave,"6, 15, 26, 67"
69th St,Western Ave,Keefe Ave,"67, 71"
71st St,Western Ave,Kedzie Ave,67
71st St,S South Shore Dr,Vincennes Ave,"6, 26, 71"
73rd St,Exchange Ave,Yates Blvd,71
74th St,Damen Ave,Loomis Blvd,75
74th St,Racine Ave,Eggleston Ave,75
75th St,S South Shore Dr,Eggleston Ave,"71, 75"
76th St,Loomis Blvd,Racine Ave,75
76th St,Kostner Ave,Cicero Ave,79
79th St,Cicero Ave,S South Shore Dr,79
83rd St,Exchange Ave,S South Shore Dr,"26, 71"
87th St,Western Ave,Buffalo Ave,"87, 95"
91st St,Mackinaw Ave,Commercial Ave,"26, 87, 95"
92nd St,Commerical Ave,Buffalo Ave,95
93rd St,Stony Island Ave,Exchange Ave,95
93rd St,Cottage Grove Ave,Woodlawn Ave,95
95th St,Woodlawn Ave,Stony Island Ave,95
95th St,Western Ave,Cottage Grove Ave,"3, 4, 95, 106, 111, 115, 119"
Adams St,Michigan Ave,Clinton St,"7, 151"
Archer Ave,Harlem Ave,State St,62
Armitage Ave,Pulaski Rd,Kostner Ave,73
Ashland Ave,95th St,Irving Park Rd,"9, X9, 63"
Ashland Ave,119th St,115th St,"111, 115"
Ashland Blvd,Pratt Blvd,Morse Ave,155
Balbo Dr,Columbus Dr,Michigan Ave,"6,26, J14"
Belmont Ave,Cumberland Ave,N Lake Shore Dr W,77
Blackstone Ave,64th St,63rd St,63
Blue Island Ave,26th St,Cermak Rd,60
Blue Island Ave,Loomis St,Racine Ave,60
Bradley Pl,Broadway,Halsted St,8
Broadway,Clark St,Devon Ave,"8, 36, 80, 90"
Bryn Mawr Ave,Broadway,Lake Shore Dr,"92, 84"
Bryn Mawr Ave,Central Ave,Elston Ave,85
Buffalo Ave,87th St,92nd St,"87, 95"
Burley Ave,92nd St,91st St,95
Canal St,Harrison St,Washington St,"7, 60"
Cannon Dr,Stockton Dr,Sheridan Rd,151
Central ave,Milwaukee Ave,Elston Ave,85
Central Ave,Harrison St,Higgins Ave,"12, 85"
Central Park Ave,25th St,Douglas Blvd,82
Central Park Ave,32nd St,31st St,82
Cermak Rd,Cicero Ave,Michigan Ave,"3, 21, 60"
Chicago Ave,Austin Blvd,Fairbanks Ct,"3, 26, 66"
Cicero Ave,I-55,79th St,"54B, 55, 63, 79"
Cicero Ave,Montrose Ave,Roosevelt Rd,"54, 60"
Clarendon Ave,Lawrence Ave,Irving Park Ave,"135, 148"
Clark St,Polk St,Howard St,"22, 36, 70"
Clinton St,Madison St,Harrison St,"7, 60, 151"
Columbus Dr,S DuSable Lake Shore Dr,Balbo Dr,"6, 26, J14, 146"
Columbus Dr,Randolph St,South Water,4
Commercial Ave,104th St,Exchange Ave,"26, 71, 87"
Congress Plaza Dr,Michigan Ave,Ida B Wells Dr,7
Cornell Ave,50th St,E Hyde Park Blvd,172
Cottage Grove Ave,111th St,35th St,"4, 95, 115"
Damen Ave,Taylor St,Roosevelt Rd,12
Dearborn St,Polk St,Division St,"22, 36, 62, 70, 151"
Devon Ave,Broadway,Kedzie Ave,"36, 155"
Diversey Ave,Kedzie Ave,N Lake Shore Dr W,"76, 77"
Diversey Ave,Natchez Ave,Milwaukee Ave,76
Division St,Austin Blvd,State St,"36, 70"
Dorchester Ave,60th St,59th St,172
Douglas Blvd,Central Park Ave,Homan Ave,82
E Hyde Park Blvd,S Lake Shore Dr,Cottage Grove Ave,"2, 6, 15, 28, 172"
Eberhart Ave,131st St,130th St,34
Ellis Ave,133rd St,131st St,34
Ellis Ave,53rd St,60th St,172
Elston Ave,Byrn Mawr Ave,Central Ave,85
Ewing Ave,91st St,106th St,26
Exchange Ave,Commercial Ave,83rd St,"26, 71"
Exchange Ave,93rd St,92nd St,95
Exchange Ave,75th St,73rd St,71
Fairbanks Ct,Chicago Ave,Illinois St,66
Fifth Ave,Kostner Ave,Harrison St,7
Foster Ave,Lake Shore Dr,Milwaukee Ave,"92, 147"
Fullerton Ave,Grand Ave,Halsted St,74
Gale St,Higgins Ave,Milwaukee Ave,85
Grand Ave,Streeter Dr,State St,"29, 66"
Grand Ave,Nordica Ave,Fullerton Ave,74
Halsted St,79th St,Waveland Ave,"8, 20, 74"
Halsted St,127th St,95th St,"8A, 108"
Harrison St,Paulina St,Canal St,"7, 60"
Harrison St,Central Ave,Kostner Ave,7
Harrison St,Fifth Ave,Wood St,7
Harrison St,Wells St,Financial Pl,36
Higgins Ave,Central Ave,Gale St,85
